07 May 2017 03:07:55 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
07 May 2017 03:07:55 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
07 May 2017 03:07:59 : LimitlessMc, botchat, Wertfuzzy77#0274, ;forceplay https://www.youtube.com/watch?v=oerZ1cYE-Qk
07 May 2017 03:08:04 : LimitlessMc, botchat, Wertfuzzy77#0274, ;loop 6
07 May 2017 03:08:05 : LimitlessMc, botchat, Botfuzzy77#2209, Added '*Billy Joel - Live at Bonnaroo 2015 (Full Concert) (HD)*' **6** more times
07 May 2017 03:08:06 : LimitlessMc, botchat, Wertfuzzy77#0274, ;recommend
07 May 2017 03:08:06 : LimitlessMc, botchat, Botfuzzy77#2209, Recommend Songs to play: True
07 May 2017 03:08:07 : LimitlessMc, botchat, Wertfuzzy77#0274, ;cycle
07 May 2017 03:08:07 : LimitlessMc, botchat, Botfuzzy77#2209, Cycle Mode: True
07 May 2017 03:08:12 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
07 May 2017 03:08:14 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 03:08:15 : LimitlessMc, botchat, Wertfuzzy77#0274, ;music
07 May 2017 03:08:17 : LimitlessMc, botchat, Botfuzzy77#2209, 
