13 Dec 2016 21:19:26 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
13 Dec 2016 21:19:32 : LimitlessMc, botchat, Wertfuzzy77#0274, ;search Your Lie in April Opening
13 Dec 2016 21:19:35 : LimitlessMc, botchat, Botfuzzy77#2209, Added YOUR LIE IN APRIL JAPANESE LYRICS (Hikaru Nara Goose House) to the queue
13 Dec 2016 21:19:35 : LimitlessMc, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=1prZmb5r6kI
13 Dec 2016 21:19:41 : LimitlessMc, botchat, Wertfuzzy77#0274, ;Radio
13 Dec 2016 21:19:41 : LimitlessMc, botchat, Botfuzzy77#2209, Radio Mode: True
13 Dec 2016 21:19:52 : LimitlessMc, botchat, Wertfuzzy77#0274, interesting
13 Dec 2016 21:19:53 : LimitlessMc, botchat, Botfuzzy77#2209, **The Following songs are in the Queue**
13 Dec 2016 21:19:55 : LimitlessMc, botchat, Botfuzzy77#2209, 1. Nanairo Symphony [HD] w/ English & Japanese Lyrics **Radio**
	<https://www.youtube.com/watch?v=dzdLuy85G3o>
Total Time is 0:04:27
13 Dec 2016 21:20:03 : LimitlessMc, botchat, NarcoticMile#6198, wert have you gon into a your lie in april craving
13 Dec 2016 21:20:04 : LimitlessMc, botchat, Wertfuzzy77#0274, it just doesnt like the forceplay?
13 Dec 2016 21:20:08 : LimitlessMc, botchat, Wertfuzzy77#0274, yes
13 Dec 2016 21:20:14 : LimitlessMc, botchat, NarcoticMile#6198, your welcome
13 Dec 2016 21:20:26 : LimitlessMc, botchat, NarcoticMile#6198, lol
13 Dec 2016 21:20:28 : LimitlessMc, botchat, Wertfuzzy77#0274, been listening to the soundtrack on loop xD
13 Dec 2016 21:20:42 : LimitlessMc, botchat, NarcoticMile#6198, tri seven deadly sins sound track
13 Dec 2016 21:20:45 : The Wild Weebs, bot, enragednuke#2565, 
13 Dec 2016 21:22:12 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
13 Dec 2016 21:22:13 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
