09 Dec 2016 20:26:40 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
09 Dec 2016 20:26:45 : LimitlessMc, botchat, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=HQnC1UHBvWA
09 Dec 2016 20:26:49 : LimitlessMc, botchat, Botfuzzy77#2209, Added Porter Robinson & Madeon - Shelter (Official Audio) to the queue
09 Dec 2016 20:27:08 : LimitlessMc, botchat, Wertfuzzy77#0274, ;Radio
09 Dec 2016 20:27:08 : LimitlessMc, botchat, Botfuzzy77#2209, Radio Mode: True
09 Dec 2016 20:27:14 : LimitlessMc, botchat, Wertfuzzy77#0274, alright lets see
09 Dec 2016 20:27:16 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
09 Dec 2016 20:27:16 : LimitlessMc, botchat, Botfuzzy77#2209, Queue is Empty
09 Dec 2016 20:27:23 : LimitlessMc, botchat, Wertfuzzy77#0274, so, currently no songs in queue
09 Dec 2016 20:27:26 : LimitlessMc, botchat, Wertfuzzy77#0274, ;skip
09 Dec 2016 20:27:26 : LimitlessMc, botchat, Botfuzzy77#2209, Skipping Porter Robinson & Madeon - Shelter (Official Audio)
09 Dec 2016 20:27:38 : LimitlessMc, botchat, Wertfuzzy77#0274, and... it crashed
09 Dec 2016 20:27:40 : LimitlessMc, botchat, Wertfuzzy77#0274, almost tho
09 Dec 2016 20:27:45 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
09 Dec 2016 20:27:45 : LimitlessMc, botchat, Botfuzzy77#2209, Relogging...
