07 May 2017 01:43:21 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
07 May 2017 01:43:22 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
07 May 2017 01:43:25 : LimitlessMc, botchat, Wertfuzzy77#0274, ;search Highway to hell\
07 May 2017 01:43:27 : LimitlessMc, botchat, Botfuzzy77#2209, Added AC/DC - Highway to Hell to the queue
07 May 2017 01:43:28 : LimitlessMc, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=qKggnBh2Mdw
07 May 2017 01:43:36 : LimitlessMc, botchat, Wertfuzzy77#0274, there we go
07 May 2017 01:43:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;loop 10
07 May 2017 02:03:22 : House of Stubb, bot2, StubbyMuffins#1053, no i do it my way lel
07 May 2017 02:09:33 : LimitlessMc, botchat, TherminatorX#6644, ;pbs
07 May 2017 02:09:33 : LimitlessMc, botchat, Botfuzzy77#2209, Boss has not been Revealed!
Please use ;pokebattle <moves> hard to fight and reveal the boss.
07 May 2017 02:09:40 : LimitlessMc, botchat, TherminatorX#6644, dangit wert
07 May 2017 02:09:47 : LimitlessMc, botchat, TherminatorX#6644, ;train
07 May 2017 02:10:03 : LimitlessMc, botchat, TherminatorX#6644, ;pbt bbbbbbbbbb
07 May 2017 02:10:05 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:10:07 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:13:46 : LimitlessMc, botchat, TherminatorX#6644, ;train
07 May 2017 02:20:59 : LimitlessMc, botchat, AlphaBit has school till 26#3869, ;pb
07 May 2017 02:20:59 : LimitlessMc, botchat, Botfuzzy77#2209, Please use a Combination of **8** Types. `;types`
07 May 2017 02:21:02 : LimitlessMc, botchat, AlphaBit has school till 26#3869, ;pbs
07 May 2017 02:21:02 : LimitlessMc, botchat, Botfuzzy77#2209, Boss has not been Revealed!
Please use ;pokebattle <moves> medium to fight and reveal the boss.
07 May 2017 02:21:07 : LimitlessMc, botchat, AlphaBit has school till 26#3869, ;pb GGGGGGGG
07 May 2017 02:21:09 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:21:11 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:22:07 : LimitlessMc, botchat, Wertfuzzy77#0274, ;song
07 May 2017 02:22:09 : LimitlessMc, botchat, Botfuzzy77#2209, 
