13 Dec 2016 21:40:28 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
13 Dec 2016 21:40:32 : LimitlessMc, botchat, Wertfuzzy77#0274, ;youtube https://www.youtube.com/watch?v=CaksNlNniis
13 Dec 2016 21:40:36 : LimitlessMc, botchat, Botfuzzy77#2209, Added No Game No Life Opening Full to the queue
13 Dec 2016 21:40:43 : LimitlessMc, botchat, Wertfuzzy77#0274, someone skip
13 Dec 2016 21:40:48 : LimitlessMc, botchat, NarcoticMile#6198, YES
13 Dec 2016 21:40:50 : LimitlessMc, botchat, NarcoticMile#6198, YES
13 Dec 2016 21:40:57 : LimitlessMc, botchat, Wertfuzzy77#0274, ...?
13 Dec 2016 21:41:14 : LimitlessMc, botchat, Wertfuzzy77#0274, skippppp
13 Dec 2016 21:41:21 : LimitlessMc, botchat, Wertfuzzy77#0274, thank
13 Dec 2016 21:41:35 : LimitlessMc, botchat, Wertfuzzy77#0274, xD Im actually dumb
13 Dec 2016 21:41:43 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
