28 Sep 2016 19:59:34 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
28 Sep 2016 19:59:40 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson MJackson
28 Sep 2016 20:01:45 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **warnier**(No Role) is now Online!
28 Sep 2016 20:01:49 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
28 Sep 2016 20:03:23 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **YalHasItAll**(No Role) is now Offline!
28 Sep 2016 20:03:51 : Cipher, general, Botfuzzy77#2209, **Fuze - Josh**(Grunt) is now Online!
28 Sep 2016 20:03:54 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **warnier**(No Role) is now Offline!
28 Sep 2016 20:06:54 : My Personal Server, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Online!
28 Sep 2016 20:06:56 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
28 Sep 2016 20:06:57 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
28 Sep 2016 20:07:53 : LimitlessMc, botchat, StarwinnerCraft#7465, ;server
28 Sep 2016 20:07:53 : LimitlessMc, botchat, Botfuzzy77#2209, **Server IP**: 23.111.129.82
28 Sep 2016 20:07:54 : LimitlessMc, botchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 58 players out of 2000
 *Ping*: 131.868 ms
 *MC Version*: 1.10.2
28 Sep 2016 20:07:54 : LimitlessMc, botchat, Botfuzzy77#2209, **Players Online**:
 *WaveSlayer13, delrouval, StarwinnerCraft, peep87, dragonebianco, talhachoudhry, Marith, TurboX3dan, afx38, micjo2506, Entony1234, creeperjtj...*
28 Sep 2016 20:12:44 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
28 Sep 2016 20:12:44 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
28 Sep 2016 20:14:23 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **RadicalRadius**(Children of The Raw Man) is now Online!
28 Sep 2016 20:14:41 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 20:14:41 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 20:15:12 : The Wild Weebs, music, enragednuke#2565, ;loop 10
28 Sep 2016 20:15:19 : The Wild Weebs, music, Botfuzzy77#2209, Added '*Michael Jackson - Thriller (Lyrics)*' **10** more times
28 Sep 2016 20:16:12 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 20:16:12 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 20:17:13 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 20:18:21 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 20:18:31 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
28 Sep 2016 20:18:31 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
28 Sep 2016 20:20:04 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 20:21:54 : The Wild Weebs, music, enragednuke#2565, @remman659 i have two full boxes of 10 of pocky
28 Sep 2016 20:22:03 : The Wild Weebs, music, enragednuke#2565, so no not weeb
28 Sep 2016 20:22:14 : The Wild Weebs, music, Spaceman659#9068, Lol
28 Sep 2016 20:22:15 : Cipher, general, Botfuzzy77#2209, **Jabulla**(Grunt) is now Offline!
28 Sep 2016 20:22:57 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
28 Sep 2016 20:22:57 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
28 Sep 2016 20:23:18 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
28 Sep 2016 20:23:18 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
