07 May 2017 02:28:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
07 May 2017 02:28:35 : LimitlessMc, botchat, Botfuzzy77#2209, Connected channel!
07 May 2017 02:28:39 : LimitlessMc, botchat, Wertfuzzy77#0274, ;search zen zen zen
07 May 2017 02:28:42 : LimitlessMc, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=PDSkFeMVNFs
07 May 2017 02:28:52 : LimitlessMc, botchat, Wertfuzzy77#0274, ;song
07 May 2017 02:28:54 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:28:57 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
07 May 2017 02:28:58 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:29:14 : LimitlessMc, botchat, Wertfuzzy77#0274, ;search Kimi no Na wa soundtrack
07 May 2017 02:29:18 : LimitlessMc, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=a2GujJZfXpg
07 May 2017 02:29:21 : LimitlessMc, botchat, Wertfuzzy77#0274, ;skip
07 May 2017 02:29:28 : LimitlessMc, botchat, Wertfuzzy77#0274, ;song
07 May 2017 02:29:31 : LimitlessMc, botchat, Botfuzzy77#2209, 
07 May 2017 02:29:34 : LimitlessMc, botchat, Wertfuzzy77#0274, ;loop
