27 Aug 2016 08:22:35 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
27 Aug 2016 08:22:35 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
27 Aug 2016 08:27:28 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Online!
27 Aug 2016 08:28:58 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Offline!
27 Aug 2016 08:40:49 : Penguins, general, Botfuzzy77#2209, **Survivra**(Deoxys) is now Offline!
27 Aug 2016 08:45:48 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
27 Aug 2016 08:47:48 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
27 Aug 2016 08:52:09 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Gilles**(Nazi) is now Online!
27 Aug 2016 08:52:36 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
27 Aug 2016 08:54:36 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
27 Aug 2016 08:59:17 : Penguins, general, Botfuzzy77#2209, **Survivra**(Deoxys) is now Online!
27 Aug 2016 08:59:24 : Penguins, general, Botfuzzy77#2209, **Survivra**(Deoxys) is now Online!
27 Aug 2016 09:00:06 : Penguins, general, Botfuzzy77#2209, **chaliema**(Rayquaza) is now Online!
27 Aug 2016 09:03:52 : 02Gaming, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Offline!
27 Aug 2016 09:03:53 : My Personal Server, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Offline!
27 Aug 2016 09:05:05 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Online!
27 Aug 2016 09:05:57 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
27 Aug 2016 09:07:12 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Online!
27 Aug 2016 09:07:48 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Offline!
27 Aug 2016 09:09:16 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Offline!
27 Aug 2016 09:11:47 : Cipher, general, Botfuzzy77#2209, **MGirard**(Grunt) is now Online!
